averageAgeDiff,_description,_OUTPUT,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
1.50,Arsenal v Aston Villa,0,3,0,82,-5,72,65,31,121,-11,-13,2,-2,-2,2,4,4,1,9,4,0,0,0,117,73,-44,1,-1,0,8,4,-9,-4,1
-2.50,Arsenal v Bournemouth,0,4,1,117,-5,114,61,67,58,48,25,6,-6,0,0,5,6,1,16,4,0,0,0,106,129,23,-2,1,0,1,0,-2,-1,1
0.30,Arsenal v Chelsea,2,-3,-5,-25,-10,-29,-7,-20,-15,-35,23,0,0,-4,4,1,1,-1,-1,-2,0,0,0,-20,-13,7,4,0,1,-3,0,7,3,-1
-2.40,Arsenal v Crystal Palace,1,3,2,288,-8,277,187,117,132,155,21,4,-4,-1,1,2,3,1,6,1,0,0,0,236,288,52,-2,0,0,-7,-3,2,4,1
-0.70,Arsenal v Everton,0,4,0,48,0,55,24,20,15,47,-16,1,-1,1,-1,5,5,2,1,6,0,0,0,36,54,18,10,1,0,-5,-8,0,-3,1
-1.80,Arsenal v Leicester,0,-1,0,160,1,158,81,97,68,72,37,5,-5,-5,5,0,2,0,6,6,0,2,0,99,169,70,-4,3,0,-12,-10,1,2,-1
2.80,Arsenal v Liverpool,1,-7,-6,112,8,118,53,62,29,37,49,-4,4,4,-4,-6,-3,0,1,0,0,1,0,52,133,81,2,0,0,2,0,0,-2,0
-2.50,Arsenal v Man City,0,-5,-3,-106,-5,-102,-65,-42,-11,-85,-10,-3,3,6,-6,-5,-2,1,-2,0,0,3,0,-75,-99,-24,0,-1,0,4,1,-4,-3,2
0.30,Arsenal v Man Utd,0,5,-2,-34,0,-33,-13,-25,-62,-37,61,0,0,0,0,5,3,2,-6,-1,0,0,0,-110,-1,109,7,-2,0,-6,1,6,7,3
0.80,Arsenal v Newcastle,0,-2,-4,1,-15,-4,17,-6,14,-10,7,1,-1,0,0,2,0,0,0,1,0,0,0,31,4,-27,-8,-1,0,5,1,-3,-4,0
-1.70,Arsenal v Norwich,0,0,1,216,-18,223,130,97,87,122,21,3,-3,-3,3,1,0,0,5,0,0,1,0,166,226,60,1,0,0,-4,2,7,6,0
0.90,Arsenal v Southampton,1,-2,1,123,-10,119,71,54,15,88,26,-1,1,-2,2,-1,1,0,1,-1,0,-1,0,86,128,42,-11,0,0,-16,-13,8,3,0
-1.10,Arsenal v Stoke,0,10,5,218,2,210,123,106,86,134,11,7,-7,3,-3,7,4,1,9,5,0,-1,0,203,218,15,0,1,0,-2,2,4,4,1
-0.80,Arsenal v Sunderland,0,1,0,221,-7,201,143,76,57,132,30,-1,1,0,0,-1,-1,1,-4,-2,0,0,0,155,212,57,-5,1,0,11,11,-4,0,2
-0.30,Arsenal v Swansea,2,3,3,126,-11,119,67,61,77,31,21,0,0,3,-3,4,5,0,3,0,0,0,0,100,121,21,4,-1,0,5,7,1,2,0
3.10,Arsenal v Tottenham,1,-5,-1,49,8,35,23,25,48,7,-6,1,-1,1,-1,-3,-1,-1,2,0,0,0,0,44,50,6,6,0,0,10,7,-9,-3,-1
-2.00,Arsenal v Watford,0,10,6,224,-10,225,121,98,116,91,12,6,-6,4,-4,7,4,1,2,1,0,-3,0,173,220,47,3,0,0,-3,-4,1,-1,2
-2.10,Arsenal v West Brom,0,7,1,229,-7,228,117,103,37,144,40,-4,4,4,-4,4,1,0,-7,-1,0,2,0,138,242,104,5,-1,0,-9,-2,8,7,2
0.70,Arsenal v West Ham,2,5,3,47,-22,58,26,25,35,32,-17,1,-1,2,-2,1,2,-1,11,4,0,1,0,84,72,-12,7,-3,0,-8,-1,5,7,-1
-0.80,Aston Villa v Arsenal,2,2,1,-91,5,-85,-48,-48,-12,-61,-21,0,0,-2,2,1,0,-1,4,2,0,-1,0,-19,-87,-68,4,0,0,-5,-2,9,3,-2
-1.50,Aston Villa v Bournemouth,2,-4,-3,-112,-1,-115,-67,-51,-51,-55,-14,-3,3,0,0,-3,-1,-1,-4,-2,0,0,0,-111,-122,-11,-4,-1,0,-5,1,1,6,-1
1.20,Aston Villa v Chelsea,2,5,5,-65,7,-76,-37,-26,11,-56,-15,0,0,-2,2,5,3,-1,3,4,0,-2,0,-24,-81,-57,-6,1,0,4,3,-2,-1,-2
-2.00,Aston Villa v Crystal Palace,0,6,7,49,-4,53,42,21,56,11,-4,4,-4,-1,1,1,-1,0,17,0,0,-3,0,66,40,-26,-11,0,0,4,5,-2,1,0
-1.30,Aston Villa v Everton,2,2,3,-113,-23,-112,-46,-59,28,-46,-89,2,-2,-2,2,2,-2,-2,8,2,0,-1,0,44,-121,-165,2,2,0,-1,3,3,4,-2
-2.70,Aston Villa v Leicester,1,-2,-2,52,-9,58,33,21,5,34,14,0,0,-5,5,-2,-1,0,3,2,0,-1,0,51,61,10,-2,2,0,-11,-7,8,4,-1
1.80,Aston Villa v Liverpool,2,-4,-3,-145,2,-145,-91,-56,-59,-58,-31,-2,2,-1,1,-2,-3,-1,-3,0,0,0,0,-65,-134,-69,8,1,0,-1,-2,4,-1,-2
-1.60,Aston Villa v Man City,1,-1,-2,-16,13,-21,-32,0,9,-23,-16,-3,3,1,-1,-1,-1,0,-6,-2,0,0,0,26,-15,-41,3,-1,0,-12,-4,12,8,0
0.60,Aston Villa v Man Utd,2,-4,-2,-56,-4,-60,-27,-15,-23,-27,5,0,0,-1,1,-4,-2,-1,4,0,0,4,0,-49,-68,-19,-4,0,0,-5,-2,6,3,-1
0.40,Aston Villa v Newcastle,1,-1,-1,42,9,37,11,23,23,28,-17,-1,1,1,-1,-1,-2,0,-4,-3,0,0,0,40,26,-14,-2,0,0,-4,-2,4,2,0
-2.00,Aston Villa v Norwich,0,0,0,63,12,63,25,33,26,34,-2,-1,1,2,-2,-1,2,0,3,2,0,-2,0,47,69,22,7,-1,0,1,-2,1,-3,-1
-0.60,Aston Villa v Southampton,2,3,1,-34,7,-34,-12,-12,-21,-3,-3,-2,2,4,-4,-2,0,-2,-4,0,0,-3,0,-33,-46,-13,-9,0,0,-5,-2,3,3,-1
-1.90,Aston Villa v Stoke,2,-5,-3,-39,-2,-35,-16,-19,-15,12,-30,-1,1,0,0,-4,-3,0,-2,-2,0,-2,0,-6,-32,-26,0,1,0,-7,-2,12,5,0
-0.90,Aston Villa v Sunderland,1,9,3,113,8,114,68,65,67,85,-18,2,-2,5,-5,7,4,1,11,7,0,0,0,130,121,-9,-4,1,0,-13,-8,8,5,1
-0.60,Aston Villa v Swansea,2,2,1,-11,-5,-8,3,-10,23,-29,1,-1,1,-3,3,1,1,0,5,0,0,-1,0,23,-12,-35,2,-1,0,-3,-1,6,2,0
1.20,Aston Villa v Tottenham,2,-8,-5,-69,8,-77,-35,-30,15,-30,-48,0,0,-1,1,-8,-4,-1,7,2,0,-1,0,-6,-66,-60,5,0,0,4,5,1,1,-1
-1.30,Aston Villa v Watford,2,5,2,130,-9,141,90,68,11,112,39,5,-5,1,-1,4,2,1,12,2,0,3,0,83,168,85,-2,0,0,-12,-6,14,6,0
-1.70,Aston Villa v West Brom,2,-1,-1,22,-6,19,18,-8,-9,21,0,-4,4,2,-2,-1,-2,0,-4,-2,0,1,0,2,28,26,-4,-2,0,6,11,6,5,-1
0.90,Aston Villa v West Ham,1,0,1,30,0,38,18,16,33,6,-3,1,-1,-2,2,-1,0,0,10,2,0,2,0,26,26,0,2,0,0,-2,-2,6,0,-1
1.00,Bournemouth v Arsenal,2,0,2,-64,9,-66,-28,-29,-9,-59,10,2,-2,1,-1,-2,-3,-2,3,1,0,-2,0,-78,-60,18,-1,-1,0,-8,-3,8,5,-2
1.00,Bournemouth v Aston Villa,2,6,2,88,1,89,58,37,35,74,-13,1,-1,-2,2,6,4,0,5,2,0,0,0,68,74,6,-11,1,0,0,0,0,0,0
1.40,Bournemouth v Chelsea,2,0,0,-22,-10,-19,-21,9,6,-36,18,4,-4,-5,5,1,2,0,9,3,0,-1,0,6,-23,-29,-1,0,0,2,2,0,0,-1
0.90,Bournemouth v Crystal Palace,1,0,1,84,-26,82,71,18,-9,81,16,-4,4,3,-3,-2,-4,0,-3,-4,0,-1,0,35,93,58,-8,1,0,5,8,4,3,0
0.40,Bournemouth v Everton,1,-1,-1,-22,-31,-14,-11,-8,4,-2,-19,-2,2,1,-1,-1,-2,-2,-1,-2,0,2,0,-2,-20,-18,3,0,0,1,-3,-8,-4,-2
0.20,Bournemouth v Leicester,1,3,3,62,-11,59,43,28,30,45,-3,2,-2,8,-8,0,0,0,6,2,0,-1,0,36,61,25,-2,-1,0,-9,-10,0,-1,1
3.20,Bournemouth v Liverpool,2,-5,-2,35,0,30,28,4,-16,8,41,1,-1,-2,2,-1,0,-1,1,3,0,-2,0,-14,28,42,0,0,0,13,5,-8,-8,-2
-0.90,Bournemouth v Man City,2,-4,2,-70,2,-71,-24,-40,-65,-21,22,-2,2,0,0,-6,-1,-2,-1,0,0,-1,0,-86,-70,16,-4,0,0,1,1,4,0,-3
4.40,Bournemouth v Man Utd,0,0,-1,-74,-16,-73,-25,-57,-33,-63,15,0,0,2,-2,2,0,0,-3,-1,0,0,0,-55,-72,-17,0,-1,0,2,1,-2,-1,0
3.10,Bournemouth v Newcastle,2,11,8,125,-8,129,87,66,66,63,26,9,-9,1,-1,7,4,0,24,7,0,2,0,125,146,21,4,-1,0,-2,0,4,2,-1
0.90,Bournemouth v Norwich,0,2,-2,25,-5,27,8,15,-17,29,12,2,-2,-1,1,3,1,1,2,1,0,-1,0,9,37,28,3,-1,0,-7,-2,6,5,1
2.20,Bournemouth v Southampton,0,2,2,-2,5,2,-5,19,32,-1,-16,7,-7,1,-1,0,-1,0,9,2,0,1,0,54,10,-44,0,0,0,-6,-4,7,2,1
0.10,Bournemouth v Stoke,2,-4,-1,110,7,105,51,57,35,58,15,4,-4,6,-6,-1,-1,0,1,1,0,-1,0,65,103,38,-7,0,0,-2,-2,1,0,-1
1.10,Bournemouth v Sunderland,0,2,-1,25,-7,22,46,-11,48,-13,4,3,-3,0,0,1,1,0,10,2,0,-3,0,37,37,0,-1,-3,0,-1,2,3,3,2
0.10,Bournemouth v Swansea,0,-1,0,-62,3,-66,-25,-33,-36,-32,9,0,0,0,0,0,1,0,-2,1,0,1,0,-52,-68,-16,0,1,0,-5,-5,6,0,0
4.00,Bournemouth v Tottenham,2,-1,0,-56,-1,-61,-19,-28,-8,-54,15,-1,1,4,-4,2,4,1,6,4,0,-3,0,-54,-44,10,0,-1,0,6,4,-5,-2,-2
0.00,Bournemouth v Watford,1,0,-1,37,-2,32,21,18,27,10,4,0,0,-1,1,2,2,1,0,2,0,1,0,47,32,-15,1,1,0,-1,-1,-2,0,0
-0.30,Bournemouth v West Brom,1,-2,-2,180,11,174,101,88,46,99,46,-1,1,0,0,-1,-1,-1,0,0,0,-1,0,113,177,64,-11,1,0,1,4,4,3,-1
1.70,Bournemouth v West Ham,2,1,1,16,-5,25,0,11,21,-2,-5,-2,2,-1,1,4,1,0,-3,0,0,-4,0,48,27,-21,4,0,0,-7,-5,7,2,1
0.10,Chelsea v Arsenal,0,4,4,36,6,31,25,8,53,-13,-9,0,0,-2,2,5,4,0,0,-1,0,-2,0,56,14,-42,-5,-1,-1,10,6,-6,-4,0
-0.30,Chelsea v Aston Villa,0,-1,1,-4,-6,-2,-7,0,22,-29,4,3,-3,-4,4,1,2,1,2,1,0,1,0,16,-8,-24,2,0,0,3,0,-8,-3,1
-0.80,Chelsea v Bournemouth,2,1,-1,81,-1,81,57,27,63,4,17,1,-1,3,-3,3,4,0,7,5,0,1,0,77,89,12,-2,0,0,0,0,1,0,0
-0.90,Chelsea v Crystal Palace,2,7,3,185,1,180,116,71,111,61,15,-1,1,0,0,6,0,0,2,2,0,-2,0,146,188,42,-1,0,0,2,5,3,3,0
-1.70,Chelsea v Everton,1,-4,-2,4,-9,14,-8,9,29,18,-46,-1,1,-2,2,-3,1,0,7,2,0,1,0,71,11,-60,4,0,0,4,2,-3,-2,0
-3.00,Chelsea v Leicester,1,6,6,86,-11,94,60,35,52,37,5,0,0,2,-2,5,3,0,3,0,0,4,0,77,89,12,-5,0,0,0,2,0,2,0
1.90,Chelsea v Liverpool,2,-6,-4,-149,4,-145,-90,-77,-83,-66,-20,-2,2,7,-7,-5,-3,0,-7,-2,0,0,0,-126,-132,-6,5,-1,0,6,5,-2,-1,0
-3.00,Chelsea v Man City,2,1,0,4,11,-9,17,2,47,-26,-2,5,-5,5,-5,-1,-4,0,8,-2,0,1,0,4,-17,-21,-10,-2,0,2,-3,-3,-5,-1
1.20,Chelsea v Man Utd,1,-2,-3,-93,2,-87,-49,-63,-58,-58,8,-7,7,-4,4,0,2,0,-10,-1,0,1,0,-99,-77,22,0,0,0,-3,1,7,4,0
0.80,Chelsea v Newcastle,0,4,-1,-37,-12,-33,-8,-34,13,-40,-14,3,-3,3,-3,2,4,2,-4,1,0,1,0,-13,-30,-17,-4,-1,0,5,4,2,-1,3
-1.30,Chelsea v Norwich,0,8,4,97,-24,104,70,26,83,6,10,1,-1,1,-1,7,2,0,5,0,0,5,0,123,108,-15,2,0,0,-9,-1,11,8,0
-0.40,Chelsea v Southampton,2,3,3,83,7,77,32,41,0,62,14,-5,5,0,0,1,-1,-1,-9,0,0,-2,0,26,81,55,3,-2,0,5,1,-2,-4,0
-1.90,Chelsea v Stoke,1,4,4,23,-1,21,13,10,39,-22,8,1,-1,-2,2,4,-1,0,1,1,0,-2,0,28,19,-9,-3,1,0,-3,-3,1,0,1
-0.70,Chelsea v Sunderland,0,6,3,223,9,222,130,108,98,103,39,1,-1,0,0,4,3,1,10,6,0,0,0,162,232,70,-4,0,0,-14,-7,8,7,2
0.00,Chelsea v Swansea,1,-2,-3,58,-9,52,42,21,65,17,-16,3,-3,0,0,-2,-4,0,6,-2,0,0,0,82,41,-41,-4,-2,0,-3,-5,3,-2,-1
1.70,Chelsea v Tottenham,1,-4,-2,-25,3,-34,-9,-13,-11,10,-21,3,-3,6,-6,-1,1,-2,3,0,0,2,0,-28,-33,-5,-5,-2,0,2,1,1,-1,-2
-1.60,Chelsea v Watford,1,1,1,65,0,62,36,36,23,17,33,4,-4,4,-4,1,0,0,6,0,0,2,0,22,56,34,-5,-1,0,-2,-3,4,-1,0
-2.20,Chelsea v West Brom,1,-1,0,106,-2,110,57,51,-2,80,29,1,-1,-1,1,0,-2,1,-7,-4,0,1,0,41,96,55,-8,-1,0,-8,-8,5,0,0
-0.20,Chelsea v West Ham,1,1,0,72,-6,64,50,30,24,40,15,-1,1,0,0,1,1,0,2,0,0,0,0,30,66,36,-2,-1,0,-8,-2,8,6,0
-0.40,Crystal Palace v Arsenal,2,-10,-6,-181,8,-180,-97,-84,-80,-99,-6,2,-2,1,-1,-7,-6,0,1,-2,0,1,0,-132,-179,-47,4,0,0,-3,-3,2,0,0
1.30,Crystal Palace v Aston Villa,0,-2,-2,-26,-10,-29,-8,-21,-9,-21,1,-3,3,0,0,-1,0,0,-4,-2,0,2,0,-9,-31,-22,-5,1,0,0,-3,-4,-3,0
0.50,Crystal Palace v Bournemouth,2,1,-2,-1,6,2,-14,21,42,-8,-27,0,0,2,-2,0,2,1,7,3,0,1,0,60,16,-44,6,1,0,-2,-1,3,1,0
1.40,Crystal Palace v Chelsea,2,1,0,-93,0,-87,-36,-43,-4,-48,-31,1,-1,5,-5,0,1,-1,14,3,0,0,0,-42,-95,-53,3,1,0,-1,-2,3,-1,-1
0.40,Crystal Palace v Everton,1,3,-1,-20,2,-16,-8,-7,21,-41,6,3,-3,3,-3,3,2,0,12,3,0,0,0,12,-7,-19,1,-1,0,4,1,-1,-3,0
-0.10,Crystal Palace v Leicester,2,3,2,1,0,13,3,-1,-34,-1,39,-1,1,-2,2,3,0,-1,-4,0,0,0,0,-17,7,24,-2,0,0,-11,-7,7,4,-1
2.90,Crystal Palace v Liverpool,2,2,0,-120,7,-128,-63,-57,-31,-64,-25,-1,1,4,-4,2,4,0,1,0,0,-1,0,-48,-132,-84,6,-1,0,-10,-7,9,3,0
-0.20,Crystal Palace v Man City,2,0,-3,-63,-4,-51,-50,-24,-53,-38,18,2,-2,1,-1,-3,-3,0,-1,-1,0,3,0,-63,-45,18,2,0,0,-4,0,5,4,0
2.30,Crystal Palace v Man Utd,1,3,4,-102,7,-104,-35,-64,-27,-86,15,2,-2,2,-2,2,2,0,0,-1,0,-1,0,-99,-110,-11,6,2,0,-2,-2,9,0,0
2.70,Crystal Palace v Newcastle,0,2,-1,48,10,62,32,31,56,-8,16,1,-1,-3,3,2,2,1,8,5,0,1,0,58,67,9,6,1,0,-12,-6,13,6,2
0.60,Crystal Palace v Norwich,0,-2,0,50,12,41,24,34,18,26,14,4,-4,0,0,0,2,0,15,2,0,0,0,16,51,35,8,0,0,2,1,-1,-1,0
0.80,Crystal Palace v Southampton,0,-4,-2,-29,9,-33,-13,-3,-4,-20,9,4,-4,2,-2,-2,-1,1,7,1,0,0,0,-34,-31,3,1,0,0,7,4,-6,-3,1
0.50,Crystal Palace v Stoke,0,4,4,106,3,103,65,58,58,53,13,1,-1,5,-5,2,2,-1,12,1,0,-2,0,81,103,22,7,-1,0,0,-3,-5,-3,-1
0.10,Crystal Palace v Sunderland,2,2,3,80,2,94,54,42,37,48,12,3,-3,-8,8,2,-1,0,15,1,0,-1,0,85,84,-1,-1,0,0,-10,-10,6,0,0
2.40,Crystal Palace v Swansea,1,3,0,29,0,20,29,19,65,-4,-13,1,-1,6,-6,3,1,0,15,6,0,2,0,99,32,-67,-2,1,0,-5,-1,6,4,0
3.50,Crystal Palace v Tottenham,2,-5,-3,-185,7,-176,-105,-83,-38,-112,-40,-4,4,2,-2,-6,-1,0,-1,-1,0,-1,0,-136,-183,-47,13,0,0,3,-1,0,-4,-1
-0.40,Crystal Palace v Watford,2,2,2,-41,5,-43,-18,-16,-23,-24,13,3,-3,4,-4,-1,-2,1,5,0,0,4,0,-47,-45,2,-4,0,0,1,-2,-5,-3,0
-1.80,Crystal Palace v West Brom,0,8,6,78,-2,97,40,58,62,39,-2,4,-4,2,-2,5,2,0,13,0,0,1,0,128,103,-25,0,0,0,-8,-6,9,2,0
0.80,Crystal Palace v West Ham,2,-6,-2,-31,11,-38,-10,-16,-13,-24,10,-3,3,-2,2,-4,-3,-1,0,1,0,1,0,-64,-46,18,5,-1,0,8,2,-11,-6,0
1.40,Everton v Arsenal,2,-3,-1,-63,13,-75,-50,0,-26,-40,13,2,-2,3,-3,-5,-4,-2,8,0,0,0,0,-82,-77,5,-4,0,0,17,8,-12,-9,-2
0.00,Everton v Aston Villa,0,3,2,169,11,168,85,87,63,104,4,-1,1,1,-1,2,4,2,2,0,0,-1,0,145,170,25,-7,0,0,-3,0,-5,3,3
-0.80,Everton v Bournemouth,0,2,0,149,7,146,98,59,71,49,38,0,0,3,-3,2,0,-1,3,0,0,0,0,92,154,62,-4,0,0,-3,-1,2,2,0
0.40,Everton v Chelsea,0,-5,-3,-95,5,-99,-55,-41,-60,-21,-15,-6,6,-2,2,-4,0,1,-6,2,0,-2,0,-81,-88,-7,-4,0,0,4,5,-3,1,1
-0.50,Everton v Crystal Palace,1,0,2,72,-11,70,51,22,37,35,4,2,-2,2,-2,-1,0,0,1,2,0,-1,0,72,99,27,0,0,0,-4,1,4,5,0
-2.10,Everton v Leicester,2,2,2,151,21,147,93,73,29,78,58,2,-2,3,-3,2,2,0,6,1,0,1,0,62,134,72,-22,0,0,-13,-10,9,3,0
2.20,Everton v Liverpool,1,-4,-1,2,12,-2,12,-14,5,24,-34,-6,6,2,-2,-6,-6,-1,-6,-5,0,0,0,29,1,-28,5,0,0,3,2,-1,-1,0
-1.30,Everton v Man City,2,-5,-7,-15,9,-12,-7,-17,-42,8,9,-1,1,3,-3,-5,-2,0,-5,-2,0,0,0,-60,-4,56,-2,-2,0,-2,0,-2,2,0
1.40,Everton v Man Utd,2,-1,0,-64,3,-65,-36,-31,2,-71,5,2,-2,0,0,-3,-1,-1,2,0,0,0,0,-28,-66,-38,-2,1,0,-7,-3,5,4,-2
2.40,Everton v Newcastle,0,5,1,116,17,108,53,66,38,51,29,1,-1,0,0,3,2,0,0,0,0,-1,0,76,105,29,-3,0,0,4,4,-5,0,1
-2.40,Everton v Norwich,0,3,3,-27,-8,-21,-1,-31,1,-23,-10,-2,2,2,-2,0,2,0,-3,-1,0,1,0,-3,-30,-27,1,0,0,7,5,-1,-2,2
-0.60,Everton v Southampton,1,-8,-2,11,6,10,-1,7,-41,24,22,-3,3,4,-4,-5,-3,0,-8,-3,0,-2,0,-45,21,66,-3,1,0,-12,-3,11,9,0
-0.50,Everton v Stoke,2,2,1,-42,1,-43,-22,-15,17,-52,-2,2,-2,-1,1,3,-1,-1,1,1,0,-1,0,-3,-35,-32,2,0,0,-9,-2,10,7,-1
-0.70,Everton v Sunderland,0,3,1,239,-8,232,126,119,117,98,31,3,-3,-1,1,2,-1,1,4,0,0,0,0,186,234,48,-8,-1,0,-7,-10,1,-3,1
0.10,Everton v Swansea,2,2,3,4,8,10,2,8,2,-13,20,1,-1,5,-5,2,1,-1,3,2,0,1,0,-11,20,31,-1,-1,0,0,3,4,3,-3
3.00,Everton v Tottenham,1,-8,-8,-148,1,-140,-85,-73,-82,-87,11,-4,4,-3,3,-9,-1,0,-7,-1,0,1,0,-160,-135,25,1,1,0,-5,-2,5,3,0
-1.30,Everton v Watford,1,-1,0,146,24,136,107,59,45,87,32,3,-3,2,-2,1,0,0,3,-1,0,-1,0,107,130,23,-14,-1,0,-12,-11,8,1,-1
0.20,Everton v West Brom,2,11,10,189,0,191,112,103,105,86,23,7,-7,-6,6,7,2,-1,18,4,0,0,0,188,193,5,-1,0,0,-10,-1,11,9,-1
2.00,Everton v West Ham,2,-1,2,-37,14,-41,-22,-15,-40,-44,48,4,-4,-7,7,-5,-5,0,1,0,0,-2,0,-57,-29,28,1,0,0,-6,-2,6,4,1
0.20,Leicester v Arsenal,2,-4,-3,-100,17,-94,-51,-42,-2,-72,-23,1,-1,5,-5,-2,-3,-1,12,2,0,-2,0,-26,-106,-80,6,0,0,3,1,1,-2,-1
1.70,Leicester v Aston Villa,0,-2,-2,-61,2,-57,-43,-22,5,-26,-44,-3,3,2,-2,-2,-3,0,-5,-2,0,0,0,10,-70,-80,-1,1,0,5,2,-4,-3,-1
1.20,Leicester v Bournemouth,1,0,-1,-85,-6,-90,-37,-50,13,-59,-41,0,0,-3,3,-1,0,0,-6,2,0,0,0,6,-100,-106,-2,-1,0,8,1,-11,-7,0
2.50,Leicester v Chelsea,0,4,2,-97,-13,-106,-64,-54,-25,-93,-2,-5,5,0,0,1,-1,1,-11,-3,0,-2,0,-67,-118,-51,3,0,0,9,8,-4,-1,1
-0.10,Leicester v Crystal Palace,0,4,2,14,5,23,5,4,9,17,-16,1,-1,4,-4,1,0,0,3,1,0,0,0,23,21,-2,9,0,0,-3,2,5,5,0
2.20,Leicester v Everton,0,8,3,-142,-14,-137,-74,-67,-10,-77,-54,2,-2,3,-3,7,6,1,3,1,0,-1,0,-6,-134,-128,2,-1,0,-9,-3,15,6,2
2.80,Leicester v Liverpool,0,1,0,-79,6,-73,-51,-33,-18,-57,-10,-5,5,-1,1,-2,2,0,-5,-1,0,1,0,-28,-77,-49,10,0,0,-10,-10,6,0,0
