averageAgeDiff,_description,_OUTPUT,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
1.40,Leicester v Man City,1,-6,-4,-116,3,-132,-70,-54,-50,-55,-22,-5,5,-2,2,-6,-2,0,-15,-1,0,0,0,-95,-129,-34,-3,0,0,-2,-1,3,1,0
3.40,Leicester v Man Utd,1,-3,-1,-146,-7,-140,-64,-89,4,-130,-27,-4,4,2,-2,-1,-2,0,-3,-2,0,1,0,-50,-141,-91,9,-1,0,-1,1,2,2,0
3.30,Leicester v Newcastle,0,-2,-1,50,-9,47,55,7,25,30,4,2,-2,1,-1,-1,-1,1,7,-2,0,-1,0,31,40,9,2,0,0,-1,-2,1,-1,1
0.60,Leicester v Norwich,0,3,3,96,20,86,69,36,27,43,34,-2,2,4,-4,1,2,0,1,-3,0,-2,0,45,83,38,1,0,0,-9,-6,6,3,0
2.40,Leicester v Southampton,0,0,0,21,15,4,10,10,-12,19,14,-2,2,2,-2,0,1,1,-6,1,0,-1,0,-17,16,33,4,0,0,-4,-2,11,2,1
0.90,Leicester v Stoke,0,7,3,-31,-8,-22,-13,-7,23,-32,-11,4,-4,2,-2,4,4,0,6,1,0,0,0,28,-22,-50,5,0,0,2,2,1,0,1
0.20,Leicester v Sunderland,0,4,1,-30,-1,-34,-7,-19,43,-33,-36,-1,1,4,-4,6,6,2,7,3,0,-1,0,40,-37,-77,1,-2,0,5,5,0,0,3
0.10,Leicester v Swansea,0,1,1,-119,7,-117,-79,-56,-25,-117,6,-3,3,-3,3,1,1,1,-2,-1,0,0,0,-95,-117,-22,14,0,0,-6,0,9,6,2
4.00,Leicester v Tottenham,1,-1,0,-212,-6,-212,-107,-107,-53,-136,-28,-1,1,4,-4,-4,-3,0,3,-1,0,0,0,-119,-211,-92,7,-2,0,4,8,2,4,0
0.30,Leicester v Watford,0,0,0,-97,-18,-81,-62,-41,-27,-62,-12,-2,2,-3,3,-2,-2,0,6,-1,0,4,0,-36,-84,-48,7,0,0,2,2,1,0,0
-0.30,Leicester v West Brom,1,7,3,60,9,66,46,30,19,32,26,5,-5,-2,2,2,1,0,10,2,0,-3,0,10,67,57,3,-1,0,2,3,9,1,-1
1.50,Leicester v West Ham,1,-3,-2,-9,-9,-10,1,-15,-27,-8,22,-1,1,-1,1,-3,-1,1,-6,-2,0,1,0,-37,-13,24,-11,-2,0,-3,-2,4,1,1
-1.10,Liverpool v Arsenal,1,-1,-1,37,3,36,38,15,14,41,-2,-1,1,0,0,-2,-4,-2,3,-1,0,-1,0,29,38,9,0,1,0,0,4,7,4,0
-0.50,Liverpool v Aston Villa,0,2,2,179,1,180,106,79,72,122,-8,5,-5,3,-3,3,-1,0,8,-1,0,1,0,149,164,15,-3,0,0,10,7,-11,-3,1
-2.70,Liverpool v Bournemouth,0,5,1,100,4,97,46,41,42,38,9,1,-1,5,-5,4,3,1,-3,0,0,0,0,83,92,9,-2,-1,0,1,2,-1,1,1
1.40,Liverpool v Chelsea,1,7,5,29,-1,29,-3,32,0,5,23,2,-2,-3,3,4,1,0,0,1,0,0,0,-18,22,40,1,1,0,4,3,-5,-1,-1
-3.00,Liverpool v Crystal Palace,2,11,7,136,-9,141,83,53,50,69,20,4,-4,2,-2,11,7,1,5,3,0,-2,0,115,142,27,-1,0,0,1,3,3,2,0
-2.10,Liverpool v Everton,0,15,10,90,-13,100,75,33,66,33,9,4,-4,1,-1,12,10,2,13,7,0,0,0,108,92,-16,-2,0,0,6,4,-2,-2,2
-4.00,Liverpool v Leicester,0,17,11,158,17,159,95,74,60,95,16,3,-3,0,0,14,3,0,10,0,0,1,0,129,157,28,0,1,0,-4,-4,3,0,0
-3.40,Liverpool v Man City,0,1,1,45,2,42,18,24,-3,23,24,0,0,-2,2,1,-1,1,-1,-2,0,2,0,-1,38,39,3,0,0,3,1,1,-2,2
0.50,Liverpool v Man Utd,2,5,1,9,-19,12,22,-17,23,-1,-16,-2,2,1,-1,5,5,0,-1,0,0,1,0,36,-2,-38,-7,0,0,1,1,-1,0,0
1.10,Liverpool v Newcastle,1,2,1,111,10,109,62,50,39,42,33,-2,2,5,-5,2,1,1,-4,-3,0,1,0,57,96,39,-4,-1,0,-7,-7,1,0,2
-3.10,Liverpool v Norwich,1,5,5,86,1,96,33,48,26,36,19,0,0,7,-7,3,4,0,1,1,0,1,0,71,74,3,1,1,0,6,1,-10,-5,0
-0.90,Liverpool v Southampton,1,5,2,115,-3,118,57,51,-2,87,21,-1,1,1,-1,4,-1,0,-4,1,0,1,0,59,123,64,-1,0,0,-7,0,2,7,0
-2.40,Liverpool v Stoke,0,-2,1,5,-12,4,27,-16,1,-6,14,1,-1,-2,2,-1,-1,0,-5,-3,0,-2,0,-18,-6,12,-3,-1,0,4,-2,-4,-6,1
-1.80,Liverpool v Sunderland,1,4,3,282,14,269,175,127,140,138,24,4,-4,6,-6,4,1,0,17,5,0,1,0,213,273,60,-6,-1,0,5,3,-4,-2,0
-2.00,Liverpool v Swansea,0,0,2,70,-4,57,37,41,57,41,-19,3,-3,-5,5,0,1,0,4,0,0,-1,0,103,61,-42,-6,1,0,6,4,2,-2,0
1.10,Liverpool v Tottenham,1,1,2,-47,-4,-57,-13,-23,2,-16,-24,4,-4,5,-5,-1,1,0,10,0,0,-1,0,-13,-50,-37,1,1,0,18,11,-7,-7,0
-3.80,Liverpool v Watford,0,2,1,196,13,189,111,87,45,105,47,2,-2,2,-2,3,1,1,1,-2,0,-1,0,88,168,80,-7,0,0,1,0,-2,-1,1
-2.70,Liverpool v West Brom,1,11,6,162,-13,163,100,70,79,78,12,-1,1,-1,1,9,3,0,3,2,0,0,0,133,158,25,-6,0,0,-2,1,3,3,0
0.00,Liverpool v West Ham,2,-3,0,180,-7,186,108,73,70,109,4,0,0,-3,3,0,0,-1,3,0,0,1,0,174,178,4,-5,0,0,-8,-9,-1,-1,-2
1.50,Man City v Arsenal,1,5,2,108,-2,107,42,80,113,22,-11,4,-4,-3,3,3,1,0,15,8,0,-1,0,177,116,-61,0,0,0,-10,-3,5,7,0
1.50,Man City v Aston Villa,0,12,5,280,9,284,166,132,129,161,11,6,-6,0,0,13,10,0,16,6,0,1,0,275,282,7,4,-1,0,-9,-5,2,4,0
0.10,Man City v Bournemouth,0,6,3,50,8,53,8,37,19,17,8,-4,4,-8,8,4,3,1,-11,-3,0,0,0,28,62,34,2,2,0,-12,-3,11,9,3
1.70,Man City v Chelsea,0,5,2,-29,-5,-18,1,-17,-34,8,10,4,-4,-5,5,5,6,0,9,4,0,0,0,-49,-21,28,-3,2,0,0,-1,2,-1,1
-0.20,Man City v Crystal Palace,0,7,3,46,-12,47,27,8,53,16,-34,0,0,1,-1,5,0,0,-7,-2,0,0,0,90,58,-32,-2,0,0,-1,1,-2,2,2
0.30,Man City v Everton,1,1,0,-13,-5,-9,3,-3,62,-30,-30,0,0,2,-2,1,1,0,11,2,0,1,0,39,-11,-50,-1,0,0,7,3,-3,-4,0
-0.50,Man City v Leicester,2,3,1,202,-9,213,132,97,106,103,20,6,-6,5,-5,3,0,-1,12,0,0,1,0,187,212,25,3,-1,0,-15,-13,4,2,-1
2.50,Man City v Liverpool,2,-2,-1,129,17,129,81,68,55,79,16,4,-4,5,-5,-3,-4,-2,14,1,0,-3,0,123,134,11,-9,-1,0,-12,-9,5,3,0
3.00,Man City v Man Utd,2,7,2,-19,-12,-14,-10,-8,21,-53,15,3,-3,4,-4,5,5,0,6,4,0,1,0,10,5,-5,4,-1,0,3,4,-5,1,-1
1.50,Man City v Newcastle,0,6,2,79,-9,81,67,24,70,19,5,3,-3,-3,3,0,-1,0,9,4,0,-3,0,84,78,-6,-6,0,0,-2,-5,0,-3,0
-1.00,Man City v Norwich,0,7,4,207,-2,209,129,92,84,138,1,4,-4,3,-3,5,0,0,6,1,0,4,0,226,217,-9,-4,1,0,-7,-3,4,4,0
2.30,Man City v Southampton,0,6,4,-77,-5,-70,-28,-50,11,-70,-21,3,-3,1,-1,5,4,2,3,1,0,-1,0,-24,-70,-46,4,0,0,9,7,-2,-2,2
1.00,Man City v Stoke,0,-1,0,106,7,100,71,40,54,33,23,2,-2,-1,1,-1,1,1,2,3,0,-1,0,86,96,10,-2,0,0,10,1,-11,-9,2
0.50,Man City v Sunderland,0,5,4,95,-9,91,63,37,31,53,16,2,-2,0,0,3,0,2,-2,0,0,1,0,77,105,28,-2,0,0,-8,-3,6,5,3
0.60,Man City v Swansea,0,1,1,124,-1,116,66,50,80,59,-22,-1,1,1,-1,0,-1,1,-5,-1,0,1,0,145,130,-15,2,-1,0,3,3,4,0,1
2.60,Man City v Tottenham,2,2,2,-158,-11,-155,-81,-77,-13,-115,-33,3,-3,4,-4,0,2,0,-3,1,0,0,0,-75,-161,-86,3,-1,0,6,0,-5,-6,0
-0.60,Man City v Watford,0,6,3,122,-8,133,88,47,119,46,-27,4,-4,2,-2,7,1,0,13,2,0,1,0,191,124,-67,-6,0,0,-13,-13,5,0,0
0.40,Man City v West Brom,0,0,0,109,-6,108,61,43,36,58,9,3,-3,1,-1,1,-1,-1,0,1,0,0,0,77,105,28,0,-1,0,-7,-8,2,-1,0
0.70,Man City v West Ham,2,7,5,164,-16,180,89,80,76,84,12,1,-1,0,0,5,4,-1,8,3,0,1,0,150,172,22,-4,-2,0,-5,-3,4,2,-1
-2.70,Man Utd v Arsenal,0,-4,-2,-44,11,-42,-25,-23,-25,-7,-17,-2,2,-1,1,-3,-3,0,2,-2,0,0,0,-44,-46,-2,-5,2,0,11,8,-3,-3,1
-1.80,Man Utd v Aston Villa,0,4,2,151,7,136,90,68,85,81,-7,9,-9,0,0,4,4,1,12,5,0,1,0,138,138,0,-4,0,0,1,0,-4,-1,1
-0.80,Man Utd v Bournemouth,0,0,-2,139,1,151,59,81,61,88,-9,3,-3,1,-1,1,0,1,3,-2,0,2,0,125,143,18,-9,0,0,2,2,-1,0,1
0.40,Man Utd v Chelsea,1,3,3,160,3,168,91,85,76,78,24,1,-1,-5,5,4,-1,0,13,1,0,1,0,123,159,36,-2,1,0,-1,-5,3,-4,0
-2.20,Man Utd v Crystal Palace,0,4,6,118,-7,118,42,72,56,68,-13,1,-1,-2,2,4,3,0,-5,-3,0,1,0,107,92,-15,-12,-2,0,6,5,-4,-1,-1
-1.10,Man Utd v Everton,0,6,3,37,-12,46,45,-1,26,41,-24,3,-3,-3,3,6,2,0,4,0,0,-1,0,52,37,-15,3,0,0,-11,-14,2,-3,0
-2.10,Man Utd v Leicester,1,6,7,173,2,174,112,87,108,86,5,2,-2,-7,7,3,-1,0,14,3,0,1,0,165,162,-3,-10,0,0,-22,-12,15,10,0
1.10,Man Utd v Liverpool,0,1,0,114,12,128,59,67,83,55,-9,3,-3,2,-2,2,0,0,13,2,0,-1,0,133,116,-17,4,0,0,-1,-5,-1,-4,0
-1.50,Man Utd v Man City,1,-4,-2,77,6,77,53,22,-5,51,29,-2,2,2,-2,-3,-2,0,2,-1,0,0,0,24,74,50,3,-1,0,3,4,-1,1,0
0.30,Man Utd v Newcastle,1,4,6,98,-4,107,52,49,60,41,0,0,0,-3,3,3,-4,0,1,-4,0,2,0,104,94,-10,-6,0,0,5,4,-5,-1,0
-3.00,Man Utd v Norwich,2,3,1,153,11,146,103,78,110,62,9,6,-6,5,-5,2,3,0,19,4,0,2,0,139,136,-3,5,-1,0,-3,-3,2,0,-1
-1.20,Man Utd v Southampton,2,3,1,61,9,60,29,27,-15,63,7,-1,1,-1,1,2,-2,0,-5,-2,0,0,0,16,54,38,-8,0,0,-9,-9,8,0,0
-3.10,Man Utd v Stoke,0,6,4,-31,-8,-18,-21,-6,6,-22,-11,-1,1,-5,5,7,6,2,2,2,0,2,0,16,-11,-27,5,0,0,0,2,1,2,2
-1.50,Man Utd v Sunderland,0,3,2,91,-15,93,64,43,69,38,0,3,-3,5,-5,0,0,1,7,2,0,0,0,112,95,-17,1,-1,0,-5,-4,-6,1,1
-1.20,Man Utd v Swansea,0,6,6,45,6,58,19,32,35,30,-15,1,-1,-2,2,3,3,0,8,2,0,0,0,68,36,-32,-4,1,0,-4,1,9,5,0
1.60,Man Utd v Tottenham,0,-2,0,4,5,9,-4,7,49,8,-53,0,0,2,-2,-2,-2,0,2,-1,0,-2,0,67,1,-66,3,-1,0,-3,-4,-1,-1,-1
-5.30,Man Utd v Watford,0,-2,-4,121,4,119,64,62,41,48,37,0,0,4,-4,1,1,0,4,2,0,0,0,55,108,53,1,1,0,3,1,-4,-2,0
-3.60,Man Utd v West Brom,0,5,3,251,-2,256,164,106,133,106,30,0,0,0,0,5,1,0,13,-1,0,1,0,227,241,14,-5,-1,0,-7,-5,7,2,0
-1.40,Man Utd v West Ham,1,6,3,72,-5,72,63,29,66,32,-5,1,-1,1,-1,4,2,0,16,3,0,0,0,99,67,-32,-8,0,0,-7,-4,5,3,0
-0.90,Newcastle v Arsenal,2,-9,-6,-239,3,-236,-143,-93,-120,-114,-5,-3,3,-7,7,-6,-3,0,-2,-1,0,-1,0,-201,-224,-23,-3,3,1,5,7,5,2,0
-0.50,Newcastle v Aston Villa,1,0,0,-3,2,-8,16,-8,55,-22,-28,1,-1,2,-2,1,3,1,1,3,0,0,0,45,-7,-52,-9,1,0,-1,0,2,1,1
-3.20,Newcastle v Bournemouth,2,3,0,-56,-7,-50,-16,-39,-1,-49,-6,1,-1,-5,5,2,0,0,3,0,0,0,0,-34,-52,-18,-3,-1,0,1,0,-6,-1,1
-1.90,Newcastle v Chelsea,1,3,4,-10,4,-4,-12,3,-31,12,10,-3,3,2,-2,4,1,1,-1,-2,0,-1,0,-21,-20,1,0,1,0,3,6,-2,3,1
-3.50,Newcastle v Crystal Palace,0,-2,0,-22,-2,-27,5,-20,-8,-10,3,-3,3,2,-2,0,0,0,-2,0,0,-1,0,-23,-19,4,-3,1,0,0,4,2,4,0
-1.90,Newcastle v Everton,2,-4,-4,-149,4,-162,-86,-72,-72,-82,-3,-1,1,-6,6,-3,-1,0,-6,-1,0,-1,0,-143,-169,-26,-5,0,0,12,4,-12,-8,0
-3.60,Newcastle v Leicester,2,-4,-4,23,-11,20,0,15,-43,36,21,-2,2,2,-2,-4,-2,0,-9,-1,0,-1,0,-45,27,72,2,0,0,-2,-3,2,-1,-1
-0.70,Newcastle v Liverpool,0,-2,-2,-81,2,-80,-64,-35,-5,-83,-9,-4,4,3,-3,-2,1,0,-12,-2,0,0,0,-32,-85,-53,3,0,0,3,0,-1,-3,0
-3.90,Newcastle v Man City,1,1,1,-48,-1,-37,-27,-23,-34,-21,1,2,-2,2,-2,1,0,-1,2,0,0,-2,0,-58,-39,19,2,1,0,-8,-5,4,3,0
0.70,Newcastle v Man Utd,1,-5,-1,68,-6,60,35,30,10,36,20,-2,2,2,-2,-4,-2,0,-3,-3,0,1,0,10,39,29,2,-1,0,5,0,-8,-5,-1
-2.90,Newcastle v Norwich,0,4,1,-8,6,-8,-23,6,-11,-4,-2,-1,1,-1,1,2,2,0,-9,-3,0,0,0,-4,-12,-8,2,1,0,-12,-9,10,3,1
0.10,Newcastle v Southampton,1,-1,2,70,-2,64,55,39,32,56,10,3,-3,7,-7,-1,0,-1,16,1,0,-1,0,34,53,19,-19,-1,0,-12,-7,11,5,0
-2.50,Newcastle v Stoke,1,1,2,-8,-8,-2,-13,4,-6,5,-8,1,-1,2,-2,2,2,0,0,-3,0,1,0,-3,5,8,3,0,0,0,1,1,1,0
-1.90,Newcastle v Sunderland,1,-4,-2,53,-1,63,43,18,-25,63,23,-2,2,-4,4,-5,-3,0,4,0,0,0,0,-10,52,62,-1,2,0,1,0,-1,-1,-1
-3.30,Newcastle v Swansea,0,5,3,-69,-10,-69,-25,-31,46,-63,-40,-1,1,-3,3,5,2,1,2,0,0,2,0,13,-83,-96,2,0,0,1,-1,-2,-2,1
-0.20,Newcastle v Tottenham,0,3,3,-68,2,-66,-53,-28,-31,-54,4,-1,1,0,0,3,0,2,-2,1,0,0,0,-63,-57,6,3,-1,0,3,2,-1,-1,2
-1.50,Newcastle v Watford,2,-2,0,55,-10,66,46,12,20,30,11,-1,1,0,0,-5,-3,-2,9,0,0,1,0,51,77,26,8,-1,0,-12,-5,9,7,-2
-4.30,Newcastle v West Brom,0,5,4,199,7,193,121,97,73,111,33,5,-5,-3,3,5,0,1,12,2,0,0,0,135,197,62,-11,0,0,-5,-1,6,4,1
-2.10,Newcastle v West Ham,0,2,3,7,-8,9,6,11,2,10,-1,0,0,-6,6,0,0,2,6,1,0,0,0,16,6,-10,4,0,0,3,4,-1,1,2
1.00,Norwich v Arsenal,1,-4,-2,-182,12,-181,-108,-75,-37,-108,-39,-3,3,-2,2,-4,-3,0,-3,-1,0,1,0,-109,-190,-81,-1,0,0,5,1,-6,-4,0
2.20,Norwich v Aston Villa,0,0,-1,3,6,-12,-1,-8,-17,-6,16,-2,2,5,-5,-2,0,0,-3,-3,0,1,0,-21,-4,17,4,-1,0,2,1,-2,-1,1
-0.60,Norwich v Bournemouth,0,2,-1,21,13,19,5,12,30,-22,7,-2,2,-2,2,1,2,1,1,1,0,-1,0,-4,22,26,-2,0,0,2,4,-2,2,1
2.40,Norwich v Chelsea,2,-4,-2,-70,4,-70,-46,-19,5,-72,2,-2,2,-8,8,-4,-1,-1,3,0,0,2,0,-27,-79,-52,-5,1,0,-2,-5,-2,-3,-2
1.00,Norwich v Crystal Palace,2,2,-2,119,6,107,67,63,29,82,18,1,-1,6,-6,-1,-2,-1,4,-3,0,-1,0,72,106,34,-4,1,0,3,-2,-8,-5,-1
0.50,Norwich v Everton,1,-4,-1,-50,1,-56,-49,-4,34,-51,-37,0,0,-1,1,-3,-3,-1,3,-3,0,-1,0,14,-59,-73,3,0,0,9,4,-9,-5,-1
-0.50,Norwich v Leicester,2,-6,-3,146,19,134,75,72,36,83,29,0,0,-1,1,-5,-3,0,-1,-3,0,0,0,59,143,84,-11,0,0,-1,-1,-4,0,-1
2.50,Norwich v Liverpool,2,-2,-1,-22,8,-30,-3,-9,37,-28,-18,2,-2,0,0,-1,0,1,7,3,0,0,0,36,-20,-56,-4,0,0,1,3,4,2,1
-0.40,Norwich v Man City,1,-5,-5,-101,-11,-102,-39,-51,-5,-76,-10,0,0,-4,4,-3,-1,0,3,-1,0,1,0,-72,-96,-24,2,0,0,-1,-3,-5,-2,0
2.80,Norwich v Man Utd,2,-5,-4,-123,-3,-118,-55,-66,-22,-83,-16,-2,2,0,0,-3,0,0,4,1,0,-1,0,-71,-106,-35,5,0,0,-5,-1,5,4,0
2.80,Norwich v Newcastle,0,3,3,-61,9,-72,-35,-24,26,-72,-12,2,-2,4,-4,3,3,1,4,3,0,2,0,-10,-61,-51,-2,0,0,1,2,-2,1,1
3.00,Norwich v Southampton,0,-5,-5,-68,-5,-62,-45,-34,-34,-41,-6,-5,5,-2,2,-7,-6,0,-10,-1,0,2,0,-40,-48,-8,1,-1,0,-10,-5,9,5,0
-0.50,Norwich v Stoke,1,7,4,-69,3,-67,-38,-22,35,-68,-27,1,-1,-6,6,5,2,0,5,0,0,-3,0,19,-65,-84,1,1,0,5,3,-2,-2,0
0.50,Norwich v Sunderland,2,2,7,58,12,47,47,28,9,39,27,6,-6,0,0,2,0,0,9,2,0,-1,0,21,34,13,-5,0,0,-10,-3,9,7,-1
0.40,Norwich v Swansea,0,0,0,-240,-21,-232,-128,-120,-28,-189,-33,1,-1,0,0,-2,0,0,0,1,0,1,0,-124,-251,-127,0,0,0,2,1,2,-1,0
3.50,Norwich v Tottenham,2,-7,-4,-99,-3,-97,-52,-53,-14,-45,-49,-2,2,1,-1,-7,-4,0,-4,-3,0,3,0,-47,-104,-57,-1,1,0,2,-1,-3,-3,-2
0.00,Norwich v Watford,0,6,4,73,2,84,53,34,45,24,19,3,-3,3,-3,4,3,1,6,1,0,2,0,66,94,28,2,-1,0,-12,-11,7,1,0
-0.90,Norwich v West Brom,2,4,3,93,1,111,51,48,70,18,11,3,-3,-6,6,1,1,0,6,2,0,2,0,99,110,11,-8,1,0,0,2,3,2,0
2.20,Norwich v West Ham,1,1,-1,14,7,0,15,-5,33,-19,-2,1,-1,-2,2,-2,1,0,0,-1,0,-5,0,29,5,-24,-4,-1,0,-2,-2,-2,0,0
0.00,Southampton v Arsenal,0,1,-1,-113,-4,-108,-68,-52,-35,-67,-17,-4,4,-3,3,-1,-2,0,-6,-3,0,2,0,-55,-115,-60,0,1,0,5,8,5,3,1
0.10,Southampton v Aston Villa,1,8,4,77,-9,80,54,44,70,21,8,4,-4,2,-2,7,6,-1,18,9,0,2,0,85,90,5,-5,1,0,4,7,2,3,-1
-1.20,Southampton v Bournemouth,0,7,4,183,13,189,103,97,75,93,31,4,-4,0,0,6,6,2,17,5,0,0,0,126,192,66,3,1,0,-3,-1,3,2,2
0.50,Southampton v Chelsea,2,0,0,-154,6,-150,-84,-60,-60,-67,-19,1,-1,4,-4,-1,1,0,8,0,0,1,0,-107,-148,-41,9,1,0,6,0,-8,-6,1
-1.10,Southampton v Crystal Palace,0,2,-3,40,-18,53,24,13,4,24,6,-2,2,4,-4,3,4,0,0,1,0,1,0,52,56,4,1,0,0,2,3,0,1,1
-1.10,Southampton v Everton,2,1,0,-2,-3,2,2,5,-11,6,13,0,0,3,-3,1,1,-2,6,3,0,1,0,-8,-8,0,-5,1,0,5,4,-1,-1,-2
-2.60,Southampton v Leicester,1,-1,1,38,-7,35,19,16,-16,28,23,2,-2,1,-1,0,-1,1,0,0,0,1,0,-24,44,68,-11,1,0,2,3,0,1,2
1.30,Southampton v Liverpool,0,-6,-7,-29,2,-22,-35,1,2,-3,-32,-2,2,4,-4,-3,0,-1,-2,1,0,2,0,13,-8,-21,5,-1,0,6,3,-8,-3,-2
-2.00,Southampton v Man City,0,6,0,-38,-7,-39,-35,-3,33,-51,-21,4,-4,-3,3,6,5,2,4,0,0,1,0,-15,-49,-34,-2,0,0,2,9,5,7,1
-0.10,Southampton v Man Utd,2,3,2,-140,-8,-134,-76,-65,-11,-126,-5,-1,1,1,-1,3,3,0,4,4,0,-1,0,-79,-133,-54,4,0,0,2,5,3,3,0
1.50,Southampton v Newcastle,0,10,3,25,-10,18,29,9,63,-10,-13,6,-6,-2,2,10,4,0,10,6,0,1,0,77,26,-51,2,0,0,-2,-1,2,1,2
-1.30,Southampton v Norwich,0,8,2,100,-8,103,82,41,70,59,-8,3,-3,5,-5,6,5,1,19,6,0,1,0,120,117,-3,1,-1,0,-7,-1,5,6,1
-1.40,Southampton v Stoke,2,1,-3,29,-15,21,38,9,54,3,-12,-1,1,1,-1,-2,-1,-1,12,3,0,-2,0,69,37,-32,-2,0,0,0,5,2,5,-1
-1.40,Southampton v Sunderland,1,3,3,75,-3,77,50,31,4,54,22,3,-3,-1,1,2,2,0,-2,2,0,-1,0,13,85,72,0,1,0,-2,-1,4,1,0
-0.70,Southampton v Swansea,0,3,-2,-52,-7,-50,-31,-19,36,-54,-31,0,0,-8,8,3,3,1,7,4,0,3,0,25,-47,-72,0,1,0,-1,0,0,1,1
1.70,Southampton v Tottenham,2,-5,1,-24,5,-27,-11,-8,19,-25,-14,-1,1,-1,1,-3,-2,-1,9,5,0,3,0,10,-33,-43,8,1,0,8,1,-13,-7,-2
-2.10,Southampton v Watford,0,5,2,-25,-1,-12,-4,-19,29,-40,-15,2,-2,0,0,1,1,1,7,5,0,-1,0,39,-13,-52,4,1,0,4,5,3,1,1
-2.80,Southampton v West Brom,0,3,3,106,-4,110,56,50,26,67,11,1,-1,2,-2,-1,-1,0,3,0,0,1,0,84,115,31,5,0,0,4,3,1,-1,2
-0.60,Southampton v West Ham,0,-2,-3,5,5,-2,17,-14,15,-32,17,0,0,-5,5,-1,2,1,-3,2,0,-2,0,-14,0,14,6,0,0,4,1,-6,-3,1
1.50,Stoke v Arsenal,1,1,-2,-23,-1,-18,-9,-10,7,-22,-7,-2,2,-3,3,1,-1,0,-1,0,0,3,0,-11,-45,-34,-4,0,0,0,-1,1,-1,0
1.30,Stoke v Aston Villa,0,1,1,9,-7,15,17,10,10,5,11,6,-6,3,-3,1,2,0,11,3,0,0,0,-6,12,18,0,-2,0,-3,-3,3,0,0
0.50,Stoke v Bournemouth,0,0,-2,0,18,-1,-15,9,17,-18,-6,-3,3,-2,2,-1,-2,1,-3,1,0,-1,0,1,-11,-12,-4,0,0,0,-1,0,-1,1
