averageAgeDiff,_description,_OUTPUT,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
1.10,Stoke v Chelsea,0,-3,-3,-121,-5,-118,-70,-48,-38,-74,-9,-5,5,1,-1,-1,1,0,-3,1,0,2,0,-76,-113,-37,-2,0,0,-5,-5,4,0,0
-0.40,Stoke v Crystal Palace,2,4,3,36,-13,38,23,7,23,16,-6,1,-1,2,-2,5,3,0,1,1,0,-1,0,43,55,12,0,0,0,3,7,1,4,-1
0.00,Stoke v Everton,2,0,0,185,-14,178,119,79,101,112,-15,1,-1,-3,3,2,1,-1,9,0,0,0,0,202,187,-15,0,0,0,-12,-6,10,6,-3
0.10,Stoke v Leicester,1,0,-1,41,7,29,28,15,23,-1,21,2,-2,-2,2,-2,0,1,4,0,0,0,0,11,35,24,-4,0,0,7,8,2,1,2
4.40,Stoke v Liverpool,2,2,-1,17,3,11,11,8,-11,32,-2,-3,3,4,-4,1,2,0,1,0,0,-1,0,-14,20,34,3,-1,0,-6,-4,5,2,0
0.30,Stoke v Man City,0,-2,-2,-72,4,-59,-65,-21,-63,-45,21,-2,2,0,0,0,3,2,-6,-1,0,2,0,-103,-32,71,11,0,0,-21,-5,17,16,2
2.10,Stoke v Man Utd,0,2,-2,-29,0,-21,-18,-19,-17,-23,2,-6,6,5,-5,2,2,1,-8,0,0,2,0,-64,-7,57,7,-1,0,-4,-3,2,1,2
2.70,Stoke v Newcastle,0,-1,-2,120,-16,122,86,42,53,76,-1,0,0,1,-1,0,-2,0,9,-1,0,1,0,117,128,11,-5,1,0,5,4,-3,-1,0
0.40,Stoke v Norwich,0,5,2,34,20,47,14,22,-23,24,36,-1,1,1,-1,5,3,0,8,2,0,-1,0,-5,58,63,8,0,-1,6,6,0,0,0
1.80,Stoke v Southampton,2,1,-1,90,-8,98,51,35,14,60,14,-2,2,-1,1,-1,-4,-2,0,-2,0,-1,0,78,97,19,-1,0,0,-8,-5,8,3,-2
0.30,Stoke v Sunderland,1,-3,-2,59,-2,59,35,18,1,14,36,-1,1,3,-3,-1,4,0,1,3,0,0,0,4,78,74,5,0,0,-1,5,8,6,0
0.20,Stoke v Swansea,1,0,1,9,14,3,5,-3,-12,16,-6,0,0,6,-6,1,3,1,-1,3,0,2,0,3,-9,-12,-1,-1,0,4,2,3,-2,1
3.30,Stoke v Tottenham,2,-5,-1,25,2,20,5,16,19,4,-2,2,-2,2,-2,-3,-3,0,4,-2,0,0,0,38,24,-14,1,0,0,1,3,6,2,-1
0.40,Stoke v Watford,2,2,-1,173,12,169,97,88,42,102,40,6,-6,4,-4,-1,-1,0,11,1,0,1,0,83,175,92,-6,0,0,-4,0,3,4,-1
-0.10,Stoke v West Brom,2,-1,0,103,-3,92,39,59,11,63,24,2,-2,1,-1,-1,-1,-1,0,-2,0,-1,0,26,94,68,-6,-1,2,-5,-2,8,3,-1
2.10,Stoke v West Ham,0,-8,-6,-36,1,-41,-18,-27,-45,-15,14,-3,3,1,-1,-8,-3,-1,-2,-2,0,1,0,-85,-46,39,-1,0,0,12,11,-8,-1,-1
0.90,Sunderland v Arsenal,1,-7,-6,-245,15,-249,-139,-119,-89,-142,-28,-3,3,0,0,-8,-7,0,-8,-4,0,-1,0,-199,-259,-60,1,-1,0,15,8,-9,-7,0
1.60,Sunderland v Aston Villa,0,0,-1,-61,-5,-67,-33,-32,-41,-33,1,-1,1,2,-2,0,0,0,-6,-3,0,1,0,-60,-63,-3,1,1,0,16,10,-7,-6,-1
-0.60,Sunderland v Bournemouth,1,-5,-2,-21,13,-44,-5,-13,-4,-15,-1,1,-1,5,-5,-4,-2,0,-1,-1,0,2,0,-25,-39,-14,-5,-1,0,-6,-6,-1,0,0
0.90,Sunderland v Chelsea,0,1,1,-197,-2,-197,-113,-84,-44,-102,-54,-2,2,1,-1,-1,-2,-1,0,-2,0,4,0,-69,-209,-140,10,-1,0,13,8,-8,-5,-1
-0.20,Sunderland v Crystal Palace,1,5,4,83,-5,96,50,38,13,44,31,0,0,0,0,4,2,0,2,1,0,-2,0,54,92,38,2,0,0,-4,-4,-2,0,1
0.10,Sunderland v Everton,0,6,5,-74,-4,-65,-52,-20,32,-73,-31,2,-2,0,0,4,2,1,6,3,0,1,0,9,-59,-68,7,0,0,-2,-5,-2,-3,2
-0.30,Sunderland v Leicester,2,-4,-1,-16,-9,-9,-9,-4,-17,19,-15,-5,5,-1,1,-2,-3,0,-8,-2,0,2,0,-8,11,19,4,0,0,1,2,-5,1,0
2.00,Sunderland v Liverpool,2,-4,-4,-130,1,-127,-74,-64,-60,-59,-19,-2,2,4,-4,-3,-3,0,-7,-2,0,1,0,-101,-122,-21,-2,-1,0,1,0,-1,-1,0
-0.80,Sunderland v Man City,2,-3,0,-72,10,-71,-29,-35,2,-47,-19,1,-1,6,-6,-1,0,0,6,1,0,0,0,0,-71,-71,0,0,0,5,4,-3,-1,-1
2.30,Sunderland v Man Utd,0,3,-1,-148,-3,-154,-85,-75,-67,-78,-17,-5,5,2,-2,2,0,0,-9,2,0,-3,0,-131,-144,-13,8,2,0,1,1,-3,0,0
2.80,Sunderland v Newcastle,0,-9,-6,-128,-6,-125,-66,-77,-45,-67,-31,-6,6,-4,4,-9,-6,0,-11,-1,0,0,0,-94,-128,-34,5,-2,-1,9,1,-11,-8,1
-0.20,Sunderland v Norwich,2,-7,-4,-17,6,-36,-6,-21,-63,20,14,-1,1,-2,2,-3,-3,0,-7,-3,0,0,0,-92,-56,36,2,0,0,10,5,-10,-5,-2
1.10,Sunderland v Southampton,2,-4,-2,-153,8,-146,-107,-69,-69,-89,-17,0,0,1,-1,-3,-2,0,-13,-1,0,-3,0,-112,-138,-26,9,0,0,-8,-6,4,2,0
-0.50,Sunderland v Stoke,0,2,3,-88,-4,-90,-53,-46,-27,-51,-22,0,0,3,-3,0,-1,0,-2,1,0,-2,0,-51,-98,-47,0,-2,0,6,4,0,-2,0
0.40,Sunderland v Swansea,1,-5,-3,-114,-4,-123,-70,-49,-21,-78,-20,0,0,-6,6,-5,-3,-1,-4,-2,0,0,0,-73,-128,-55,-5,2,0,11,11,-3,0,-1
3.50,Sunderland v Tottenham,2,2,3,-50,-5,-57,-18,-32,-12,-16,-22,2,-2,0,0,2,1,0,3,1,0,1,0,-37,-53,-16,-3,1,0,6,5,1,-1,0
-0.50,Sunderland v Watford,2,-2,-5,-58,-12,-56,-23,-32,0,-56,1,2,-2,2,-2,-3,-3,-1,5,1,0,0,0,-48,-72,-24,-1,0,0,-8,-7,6,1,-1
-0.90,Sunderland v West Brom,1,5,5,-17,-18,-13,-13,-5,-15,-16,13,0,0,1,-1,4,3,0,-4,1,0,2,0,-13,-1,12,-4,1,0,6,7,3,1,0
1.80,Sunderland v West Ham,1,6,2,26,-9,21,-1,21,-13,9,22,-1,1,3,-3,3,4,1,-4,-1,0,1,0,9,27,18,1,-1,0,8,5,-9,-3,1
0.70,Swansea v Arsenal,2,0,2,54,15,45,22,42,7,1,56,2,-2,-5,5,1,2,0,8,0,0,3,0,-11,45,56,-3,0,0,5,3,-5,-2,0
0.80,Swansea v Aston Villa,0,-3,-3,2,-15,14,9,-17,-47,19,22,2,-2,0,0,-1,-2,0,-5,-3,0,1,0,-54,7,61,-2,-1,0,-3,-6,-5,-3,0
1.00,Swansea v Bournemouth,1,-1,-1,-84,2,-84,-45,-43,-38,-28,-23,0,0,6,-6,-2,1,-1,-1,2,0,-4,0,-65,-84,-19,-1,-1,0,10,2,-11,-8,0
3.30,Swansea v Chelsea,0,1,1,-76,-1,-68,-42,-22,-4,-44,-21,-2,2,-2,2,0,0,0,9,1,0,-2,0,-3,-64,-61,13,0,0,6,3,-2,-3,1
0.10,Swansea v Crystal Palace,1,-1,0,85,-9,92,42,53,31,60,4,-1,1,-2,2,-4,-3,0,2,-2,0,1,0,81,85,4,-4,0,0,0,-2,-4,-2,1
0.20,Swansea v Everton,1,-2,-2,-10,-3,-16,-8,7,-29,24,4,-2,2,0,0,0,0,0,-2,3,0,-1,0,-42,-14,28,-10,1,0,7,6,-6,-1,0
-1.60,Swansea v Leicester,2,-4,-2,116,-10,123,71,54,11,71,43,-2,2,6,-6,-3,-2,-2,8,2,0,1,0,66,150,84,6,-1,0,-9,-2,10,7,-2
3.70,Swansea v Liverpool,0,4,3,-28,-4,-29,21,-35,38,3,-55,1,-1,2,-2,1,3,1,10,4,0,1,0,61,-24,-85,5,-1,0,3,0,-8,-3,2
-2.30,Swansea v Man City,1,-10,-5,47,4,44,49,7,-16,71,1,2,-2,8,-8,-9,-5,0,5,1,0,1,0,16,59,43,2,-2,0,-6,-4,4,2,0
0.90,Swansea v Man Utd,0,-3,-1,-139,-10,-137,-70,-69,-51,-89,-1,-1,1,4,-4,-2,-2,0,-3,-2,0,1,0,-97,-144,-47,1,-1,0,0,0,-2,0,0
1.80,Swansea v Newcastle,0,4,3,72,4,80,50,26,39,69,-32,0,0,3,-3,6,1,1,4,-1,0,1,0,86,90,4,5,-1,0,6,5,0,-1,1
-0.10,Swansea v Norwich,0,1,-2,56,-2,45,49,22,-2,67,6,0,0,0,0,2,2,0,4,1,0,0,0,37,64,27,-2,-1,0,2,3,-1,1,0
1.60,Swansea v Southampton,2,-4,-4,29,-5,30,20,11,7,12,12,0,0,3,-3,-4,-3,0,1,0,0,0,0,12,31,19,4,-1,0,-1,-2,0,-1,0
0.00,Swansea v Stoke,2,-1,0,-50,-12,-36,-4,-39,-2,12,-52,1,-1,8,-8,-1,-2,0,7,0,0,0,0,21,-41,-62,3,0,0,-7,-5,8,2,-1
0.30,Swansea v Sunderland,2,3,1,57,5,57,33,27,13,37,10,2,-2,2,-2,3,0,0,2,1,0,0,0,42,53,11,4,0,1,-4,-2,5,2,1
2.50,Swansea v Tottenham,1,-7,-5,-83,16,-85,-50,-35,-31,-37,-18,-2,2,3,-3,-4,-1,1,-5,-1,0,0,0,-60,-75,-15,6,1,0,-2,-1,2,1,-1
-0.10,Swansea v Watford,0,3,1,139,-17,142,82,72,68,69,17,3,-3,3,-3,2,2,1,17,3,0,3,0,100,160,60,-2,-2,0,-7,-5,4,2,1
-1.70,Swansea v West Brom,0,1,1,79,-16,81,48,15,-4,62,3,-5,5,2,-2,3,2,0,-10,-1,0,-2,0,57,88,31,4,-1,0,-9,-6,4,3,1
1.30,Swansea v West Ham,1,3,2,249,-16,241,154,111,62,179,23,0,0,1,-1,4,2,0,3,3,0,1,0,145,248,103,-9,0,0,-2,2,-2,4,0
-1.10,Tottenham v Arsenal,1,6,7,31,1,33,10,32,29,2,10,2,-2,1,-1,3,0,-1,6,1,0,0,0,60,34,-26,-6,-1,0,2,5,7,3,-1
-2.00,Tottenham v Aston Villa,0,3,0,158,8,168,76,86,11,115,35,2,-2,4,-4,4,2,0,1,0,0,2,0,82,169,87,2,-1,0,-1,-2,3,-1,2
-3.70,Tottenham v Bournemouth,0,7,3,175,9,185,94,81,62,83,32,3,-3,-2,2,6,3,2,6,1,0,-1,0,131,159,28,-2,0,0,-1,-4,-5,-3,2
-1.60,Tottenham v Chelsea,1,4,4,90,-5,99,48,42,-6,73,23,1,-1,-5,5,3,1,0,3,2,0,-3,0,39,99,60,-1,3,0,-6,-4,4,2,0
-2.70,Tottenham v Crystal Palace,0,5,2,96,3,98,65,49,51,51,13,2,-2,-1,1,4,2,0,4,-1,0,0,0,99,109,10,-4,-1,0,-10,-7,8,3,0
-1.50,Tottenham v Everton,1,7,5,-53,-24,-47,-30,-27,-10,-31,-11,2,-2,-4,4,8,5,0,6,1,0,0,0,-42,-45,-3,4,-1,0,10,8,-8,-2,0
-4.50,Tottenham v Leicester,2,7,6,130,11,132,82,71,67,67,20,5,-5,-1,1,7,2,0,13,6,0,1,0,120,129,9,3,0,0,-8,-6,2,2,0
-0.50,Tottenham v Liverpool,1,3,0,26,3,22,25,4,-7,2,33,2,-2,4,-4,0,1,0,3,-2,0,-2,0,-12,43,55,3,-1,0,8,11,2,3,0
-3.10,Tottenham v Man City,0,-3,-2,61,-2,63,24,45,-7,49,28,-1,1,0,0,-3,0,-1,-1,1,0,2,0,28,74,46,2,-1,0,1,0,1,-1,0
-0.50,Tottenham v Man Utd,0,2,-1,-76,-6,-66,-44,-40,-21,-71,6,-2,2,-2,2,3,1,0,-7,-3,0,1,0,-61,-64,-3,2,0,0,-2,0,1,2,0
-1.00,Tottenham v Newcastle,2,9,5,75,-2,83,36,38,65,3,8,4,-4,2,-2,7,2,1,3,0,0,-1,0,83,71,-12,-1,-1,0,-4,-5,-3,-1,1
-3.20,Tottenham v Norwich,0,3,1,132,4,111,54,70,-3,105,23,4,-4,6,-6,0,1,0,1,-1,0,-4,0,43,131,88,0,-1,0,-3,2,1,5,2
-2.10,Tottenham v Southampton,2,7,5,155,9,153,81,82,22,102,42,2,-2,-2,2,4,2,-1,4,3,0,-3,0,81,165,84,-2,0,0,-5,-5,2,0,0
-4.40,Tottenham v Stoke,1,1,0,139,17,132,79,66,3,99,47,2,-2,2,-2,1,2,2,1,0,0,-1,0,24,128,104,3,0,0,-2,-3,2,-1,2
-3.00,Tottenham v Sunderland,0,12,8,167,-14,166,104,79,83,77,22,4,-4,1,-1,7,4,-1,12,6,0,-2,0,152,175,23,0,0,0,-1,2,6,3,0
-3.70,Tottenham v Swansea,0,6,4,76,-10,85,64,27,52,10,30,-1,1,4,-4,5,2,0,8,3,0,-2,0,87,69,-18,2,-2,0,-6,-4,3,2,-1
-3.90,Tottenham v Watford,0,11,7,147,2,146,76,78,44,97,15,9,-9,-2,2,10,5,0,14,4,0,2,0,105,153,48,-1,0,0,-14,-7,11,7,0
-2.60,Tottenham v West Brom,1,3,4,180,4,176,113,67,34,105,43,4,-4,5,-5,5,4,0,1,2,0,-1,0,110,187,77,0,0,0,4,3,0,-1,-1
-1.40,Tottenham v West Ham,0,3,1,116,7,111,53,65,32,60,24,0,0,0,0,2,-1,1,-2,0,0,-1,0,63,113,50,2,0,0,-2,-4,0,-2,2
0.70,Watford v Arsenal,2,-4,-4,-142,16,-148,-76,-62,-25,-89,-29,-2,2,1,-1,-6,-4,0,-6,-2,0,-3,0,-87,-156,-69,-4,0,0,11,7,-8,-4,0
1.80,Watford v Aston Villa,0,7,3,134,3,135,92,61,68,65,21,3,-3,2,-2,5,4,-1,10,1,0,0,0,109,133,24,-9,-2,0,1,0,-2,-1,0
0.40,Watford v Bournemouth,1,3,2,-15,3,-21,-7,-18,2,-32,4,2,-2,-3,3,3,2,0,-4,1,0,-1,0,-32,-27,5,3,0,0,-2,-5,-9,-3,0
3.10,Watford v Chelsea,1,6,7,-49,-10,-49,-27,-11,-3,-22,-16,2,-2,2,-2,7,4,0,0,2,0,-1,0,-16,-40,-24,7,1,0,-9,-3,9,6,0
1.00,Watford v Crystal Palace,2,2,-1,49,11,38,21,32,9,44,0,1,-1,0,0,4,3,0,0,3,0,0,0,14,38,24,0,1,0,5,1,-3,-4,0
1.70,Watford v Everton,1,3,2,-76,-3,-70,-35,-39,-3,-6,-66,1,-1,-3,3,5,4,0,2,2,0,0,0,-3,-68,-65,8,0,0,-1,1,-2,2,-2
-0.20,Watford v Leicester,2,-2,-1,50,11,36,37,23,20,45,-6,-3,3,4,-4,0,-1,0,4,2,0,1,0,12,38,26,-2,1,0,2,2,-3,0,0
3.30,Watford v Liverpool,0,2,0,-114,5,-119,-60,-57,11,-89,-38,0,0,4,-4,1,1,0,1,1,0,-3,0,-32,-137,-105,1,0,0,6,5,-1,-1,2
-1.00,Watford v Man City,2,-2,-1,-31,6,-25,-8,-21,-28,12,-14,2,-2,0,0,-3,0,0,-1,0,0,0,0,6,-26,-32,8,1,0,-10,-7,9,3,0
3.00,Watford v Man Utd,2,-2,-2,-87,-6,-99,-56,-36,-42,-51,2,-3,3,1,-1,-1,-1,-1,-9,-4,0,-2,0,-74,-85,-11,1,0,0,2,6,5,4,-1
2.90,Watford v Newcastle,0,3,1,75,-1,72,35,45,32,52,-5,-1,1,1,-1,3,1,0,-2,-2,0,-1,0,91,78,-13,7,0,0,0,4,4,4,0
0.50,Watford v Norwich,0,3,3,51,-7,54,41,18,25,22,12,2,-2,1,-1,1,-2,0,1,0,0,0,0,54,61,7,3,-1,0,1,2,3,1,1
2.10,Watford v Southampton,1,0,0,15,5,11,11,16,26,7,-5,0,0,-3,3,0,-1,0,0,-3,0,0,0,20,11,-9,-13,-1,0,-1,0,1,1,0
0.80,Watford v Stoke,2,0,0,-70,-10,-77,-31,-29,10,-64,-5,5,-5,3,-3,-1,0,-1,3,1,0,-1,0,-37,-73,-36,-1,2,0,4,3,-6,-1,-1
1.60,Watford v Sunderland,1,5,4,7,-13,9,33,-36,-21,24,-6,-2,2,3,-3,5,-1,-1,-5,4,0,-1,0,11,17,6,7,0,0,-1,-3,-5,-2,-1
1.20,Watford v Swansea,0,4,1,-56,7,-62,-27,-18,27,-53,-21,1,-1,-2,2,2,0,0,6,0,0,-5,0,15,-63,-78,7,0,0,4,4,1,0,0
3.70,Watford v Tottenham,2,1,1,-49,2,-50,-26,-32,9,-54,-13,-2,2,1,-1,2,1,1,-4,1,0,1,0,-16,-42,-26,11,-1,0,1,-1,2,-2,0
-0.80,Watford v West Brom,1,5,3,85,7,90,53,57,57,35,19,0,0,-1,1,5,4,0,14,5,0,0,0,93,87,-6,0,-1,0,-10,-7,6,3,0
1.00,Watford v West Ham,0,8,6,22,2,8,29,4,61,-24,0,6,-6,0,0,3,2,0,11,5,0,1,0,67,19,-48,-7,0,0,0,1,-1,1,1
1.20,West Brom v Arsenal,0,-3,0,-144,7,-145,-97,-42,-4,-103,-32,-2,2,3,-3,-2,0,0,4,-2,0,3,0,-67,-149,-82,0,-1,0,10,8,-5,-2,-1
3.40,West Brom v Aston Villa,1,-4,-3,-90,-3,-83,-49,-39,-35,-42,-11,-1,1,4,-4,-1,-1,0,-1,1,0,0,0,-57,-87,-30,6,-1,0,-1,-2,-2,-1,0
0.50,West Brom v Bournemouth,2,-6,-5,-224,-3,-225,-129,-107,-95,-113,-29,-2,2,-2,2,-6,-1,0,-5,-1,0,-1,0,-171,-229,-58,8,1,1,0,-4,-5,-4,0
1.70,West Brom v Chelsea,2,-6,-2,-145,1,-145,-76,-68,-54,-71,-18,-2,2,0,0,-6,0,1,3,3,0,0,0,-106,-137,-31,5,0,0,3,2,-4,-1,-2
0.80,West Brom v Crystal Palace,0,3,0,-58,-9,-55,-34,-20,39,-52,-41,-1,1,2,-2,2,1,2,3,-2,0,0,0,42,-63,-105,-4,0,0,-3,-1,3,2,3
0.70,West Brom v Everton,2,-2,0,-27,-1,-25,-21,-3,1,-19,-7,0,0,-2,2,-2,-2,1,3,-2,0,3,0,4,-26,-30,8,0,0,-2,1,0,3,1
1.10,West Brom v Leicester,2,-5,-5,-41,-7,-43,-29,-9,-32,-34,27,2,-2,2,-2,-4,-2,1,-11,-6,0,0,0,-57,-30,27,-3,0,0,-3,-1,-6,2,1
4.10,West Brom v Liverpool,1,-4,-2,-180,3,-180,-91,-93,-19,-116,-49,-2,2,-4,4,-2,1,1,-1,0,0,0,0,-103,-189,-86,2,0,0,7,2,-5,-5,0
0.20,West Brom v Man City,2,-11,-9,-270,-5,-264,-136,-139,-111,-167,3,-3,3,-1,1,-9,-6,-1,-3,0,0,1,0,-259,-261,-2,5,1,0,1,1,-2,0,-2
4.40,West Brom v Man Utd,0,4,2,-79,-11,-82,-22,-48,10,-81,-2,1,-1,3,-3,4,3,0,-2,3,0,1,0,-36,-76,-40,2,-1,0,3,-2,-4,-5,0
4.00,West Brom v Newcastle,0,10,7,17,7,7,-5,24,49,-35,8,8,-8,0,0,5,3,0,8,3,0,-1,0,51,20,-31,-3,0,0,9,10,-1,1,0
0.90,West Brom v Norwich,2,2,1,27,13,13,21,7,38,-11,1,0,0,2,-2,3,1,0,-2,-1,0,0,0,24,21,-3,9,0,0,-2,-4,-1,-2,0
2.10,West Brom v Southampton,1,-1,-1,-94,1,-104,-42,-55,-14,-54,-29,0,0,1,-1,-1,2,0,-5,1,0,0,0,-37,-100,-63,-10,0,0,-1,-1,-2,0,0
0.70,West Brom v Stoke,0,-1,-5,-43,11,-44,-23,-18,27,-50,-19,-3,3,6,-6,-3,0,0,4,2,0,0,0,0,-52,-52,-1,0,0,5,3,0,-2,0
0.50,West Brom v Sunderland,0,-2,-6,17,-7,14,25,0,34,3,-11,-3,3,-4,4,-1,-4,0,3,0,0,-3,0,43,11,-32,1,1,0,-11,-8,5,3,0
1.30,West Brom v Swansea,1,0,-2,-63,3,-62,-25,-24,59,-95,-15,-1,1,4,-4,-1,2,0,14,5,0,0,0,17,-64,-81,4,0,0,-2,0,0,2,0
5.00,West Brom v Tottenham,1,1,1,-117,4,-122,-56,-36,35,-100,-29,0,0,2,-2,1,2,0,9,2,0,1,0,-6,-110,-104,3,0,0,-3,-2,4,1,0
-0.10,West Brom v Watford,2,4,3,28,-18,36,40,12,54,-6,5,3,-3,1,-1,2,4,-1,19,0,0,0,0,76,33,-43,1,-1,0,-10,-5,7,5,-1
1.70,West Brom v West Ham,2,1,3,-112,-12,-122,-48,-50,14,-98,-16,0,0,-6,6,-4,-2,-2,2,-1,0,1,0,-29,-123,-94,-2,0,0,4,2,-2,-2,-2
-0.30,West Ham v Arsenal,1,3,1,-66,12,-65,-46,-17,-34,-25,-3,2,-2,-1,1,2,2,-1,5,5,0,2,0,-45,-58,-13,2,1,0,-2,-1,4,1,0
0.90,West Ham v Aston Villa,0,8,0,123,-17,129,61,55,35,59,24,-3,3,-1,1,5,3,0,-2,2,0,1,0,97,133,36,0,0,-1,4,2,-8,-2,0
-1.60,West Ham v Bournemouth,2,-7,-2,-26,0,-31,-13,-29,-41,2,-2,0,0,5,-5,-5,-3,-1,0,2,0,0,0,-38,-36,2,11,0,0,6,1,-8,-5,-2
0.40,West Ham v Chelsea,0,1,1,-100,17,-105,-71,-25,-31,-45,-21,0,0,3,-3,0,-1,0,-3,-1,0,0,0,-70,-114,-44,-1,-4,0,5,3,-3,-2,1
-0.60,West Ham v Crystal Palace,1,6,4,197,6,200,114,86,27,145,29,1,-1,2,-2,3,0,0,1,-1,0,-1,0,136,207,71,-1,2,0,0,1,4,1,1
-0.20,West Ham v Everton,1,-1,-4,-11,-5,-3,-1,-3,-14,6,2,-3,3,1,-1,-1,-1,-1,4,1,0,1,0,-37,-1,36,4,-1,0,6,4,-5,-2,0
-0.80,West Ham v Leicester,2,-2,-3,100,16,100,57,52,-8,77,40,2,-2,1,-1,-1,-1,-1,3,-1,0,0,0,22,108,86,-2,0,0,-2,-2,-1,0,-2
2.30,West Ham v Liverpool,0,-1,-3,-95,8,-82,-81,-26,-69,-23,-16,-1,1,0,0,-4,0,1,-9,2,0,0,0,-100,-77,23,7,0,0,7,3,-4,-4,1
-1.80,West Ham v Man City,1,1,0,-30,8,-35,-14,-7,4,-9,-17,0,0,-1,1,-1,-1,0,5,0,0,0,0,1,-31,-32,-2,0,0,-5,-4,6,1,0
1.50,West Ham v Man Utd,0,9,3,-120,-13,-111,-68,-53,-17,-78,-25,3,-3,3,-3,8,7,1,8,5,0,1,0,-16,-111,-95,5,0,0,-1,-2,3,-1,1
1.10,West Ham v Newcastle,0,0,-4,-103,-10,-94,-62,-52,-1,-58,-53,-1,1,0,0,2,1,1,-4,0,0,-2,0,-7,-75,-68,11,-1,0,0,4,1,4,1
-1.00,West Ham v Norwich,1,3,2,-112,-10,-101,-50,-59,2,-45,-65,5,-5,7,-7,3,-1,1,8,0,0,2,0,13,-106,-119,4,0,0,0,2,4,2,0
-0.10,West Ham v Southampton,0,-6,-3,11,11,-4,-3,5,-54,35,22,-2,2,1,-1,-4,-3,0,-10,0,0,1,0,-62,-2,60,-3,0,0,4,0,1,-4,1
-1.40,West Ham v Stoke,1,3,5,-43,1,-41,-21,-22,33,-39,-38,1,-1,-2,2,-1,-2,0,3,-1,0,0,0,66,-40,-106,0,-1,0,-6,-3,2,3,0
-1.20,West Ham v Sunderland,0,3,1,98,20,105,58,45,33,38,33,0,0,1,-1,0,0,0,5,1,0,-1,0,49,122,73,4,0,0,-19,-9,13,10,1
0.00,West Ham v Swansea,2,6,4,84,-7,83,42,44,53,30,6,7,-7,-1,1,3,0,-2,12,5,0,-2,0,84,90,6,6,0,0,-2,-1,-2,1,-2
1.80,West Ham v Tottenham,0,8,5,-92,-1,-81,-64,-25,4,-63,-32,5,-5,3,-3,6,4,1,4,2,0,4,0,0,-78,-78,1,-2,0,-7,-4,5,3,1
-2.20,West Ham v Watford,0,7,1,-51,16,-44,-34,-24,-27,-36,6,1,-1,2,-2,5,4,1,-1,0,0,0,0,-47,-40,7,9,-1,0,1,0,-2,-1,2
-3.30,West Ham v West Brom,1,6,3,98,-13,93,66,28,16,60,21,2,-2,1,-1,3,4,0,0,1,0,-2,0,68,115,47,-4,-1,0,-1,4,9,5,1
